Text,Location,Username
@yona_kmy @freedakml Xptdrrr je chiale j’ai remarquer en retard bv 😂,24🇲🇬🇨🇩,pv24s
@seahawksfan2314 @PFF_Retard @MLB @RamTrucks @Rangers @BlueJays @Padres @Braves Jacob deGrom is a better player then any of those guys by far,"New Jersey, USA",jack_isachsen
Retards... https://t.co/I8R60BIoPp,,nev_dawood
Je work à 09h mais suis debout comme un vigile. Je vais d'abord reach en retard un peu et voir la réaction.,Sangmelima,Muna_Mouto
@PFF_Retard @MLB @RamTrucks @Rangers @BlueJays @Padres @Braves No I’m just acknowledging the fact that nobody on the Mets are in the same league as the players in the above picture,Mets fans tiny brains ,seahawksfan2314
"Bat ka kasi kakagat if talagang ayaw mo, even tho how stubborn the guy was if you want sex you wanted sex hahaha....Fckn retard!",Abay clinick ni Doc. Florencio,Kev_Fantasy
Legault prends des notes... Tu est en retard https://t.co/IanWFijV7s,,PatientTommy
@RomainM45081967 Novavax est en retard.,"Montréal, Québec",VeilletteAndre
"@CampoFN @simsaswag @nive2005non @hentvv @SonicFNB @ChapixFN 23rd of April, until 4 days ago - and I could pull my actual stats that prove you wrong on those ""average 2-3"" , what my last 4 tweets? Because I've not been active for 4 weeks lol 

Keep checking hahahahaha retard",,TheBigDarrel
@SupaChamp13 @MattDav43481502 @MecoleMVP Why because I don't give a shit what trolls say on Twitter? Yeah I'm the retard. Go outside bro. Your parents probably miss you.,,BigBallaBarryB
@AronaSall18 @_khadim_thiam_ Il est retard Arnaud c'est bien connu,,BJudith_07
"J'ai un peu de retard je crois mais on va rien dire 
#ARMYSelcaDay #BTS https://t.co/RUtXNPOo3H",France,night_foxx_
@LegumeG @ZGroyp @jack85955 Ohhh retard moment. TRUE,,Amla152
"@NiltonJorge Bah, Bell en direct avec l’appli TVA Sports c une minutes de retard.",,HighFive504
"@AIexV2_ Bruv are you thick? Who decides not to spend or spend well? Thats literally my point, edu and co need to go and the people hiring retards like that also need to go",London,DifferentKnock
@JMediaport C'est un peu raté pour le poisson d'avril... 2 mois de retard 🤪😂😂 https://t.co/dI48PFYUAC,"Bruges, France",Eric_Degremont
@TwoOfum @CourtesyFlush5 @sportjames23 @djohn90 @RuChiOhu No it doesn’t retard,"Woodstock, NY",RoblerRun
@dante_emperor @OudCovers @TheAthletic Time to make some money because of the retard Jake Paul fans screwing the odds,,Unblockedaccou5
I was John Jay I’m reborn my soul spirit was never changed can’t change it y’all need to put my soul spirit back into my body I can barely breathe you mentally ill anti socials y’all need to text me where that fat anti social retard is,,Johnjaym18
@NiltonJorge @francisdarche Je viens de faire le test avec un ami qui l’écoute sur Illico. 17 secondes de retard.,"Chambly, Québec",fred_warren
How an entire region will be fooled by a retard speaks a lot about the majority of the leaders from the said region sha. Kai,,SureNigerian
@ThatsJustJosh_ @WhattUpJT A lot of weak Black people are so easily fooled. Smh,,_IamDeandre_
My dad just said “that man been in the NBA since Jesus was in the 5th grade” 🤣🤣🤣 lmaoo I love black people sayings,"Colorado, USA",hennysmama
@stefaniaCNYC @yuhline @brontyman Do you actually care about Asians? Or is this your way to go after black people?,,akahnnyc
"change the mindset and the poverty rate of black people. And to that I say shame on you, I am SO TIRED of us “showing love instead of violence”. So for anyone who feels differently, why are we the only race who has ever “showed the other cheek” in the face of slavery,genocide,etc",lost,Vloid_
@DelozierTonia @LaraOyedele @FOX17 Look at how they treat Serena Williams they don't even give her the respect that she deserves she receive penalties for no reason. We as black people need to stop participating in white sports and start our own this is another form of slavery.,,IkeepItRealDoU
"@keithboykin @raviperry @decolonialatlas Ocoee, Florida, 1920: Dozens of Black people murdered after one Black man attempted to exercise his legal right to vote. 

https://t.co/G6zlCF427A",Florida,macloo
Stupid take of the day most black people I've met online and irl have encouraged me to use the n word (not hard r!) So if they are telling YOU specifically not to say it maybe it's a problem with YOU,63rd,KraftyYSL
